product_id,product_name,product_description,cleaned_description
B07JW9H4J1,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)","High Compatibility : Compatible With iPhone 12, 11, X/XsMax/Xr ,iPhone 8/8 Plus,iPhone 7/7 Plus,iPhone 6s/6s Plus,iPhone 6/6 Plus,iPhone 5/5s/5c/se,iPad Pro,iPad Air 1/2,iPad mini 1/2/3,iPod nano7,iPod touch and more apple devices.|Fast Charge&Data Sync : It can charge and sync simultaneously at a rapid speed, Compatible with any charging adaptor, multi-port charging station or power bank.|Durability : Durable nylon braided design with premium aluminum housing and toughened nylon fiber wound tightly around the cord lending it superior durability and adding a bit to its flexibility.|High Security Level : It is designed to fully protect your device from damaging excessive current.Copper core thick+Multilayer shielding, Anti-interference, Protective circuit equipment.|WARRANTY: 12 months warranty and friendly customer services, ensures the long-time enjoyment of your purchase. If you meet any question or problem, please don't hesitate to contact us.",high compatibility compatible with iphone 12 11 xxsmaxxr iphone 88 plusiphone 77 plusiphone 6s6s plusiphone 66 plusiphone 55s5cseipad proipad air 12ipad mini 123ipod nano7ipod touch and more apple devices.fast chargedata sync it can charge and sync simultaneously at a rapid speed compatible with any charging adaptor multi-port charging station or power bank.durability durable nylon braided design with premium aluminum housing and toughened nylon fiber wound tightly around the cord lending it superior durability and adding a bit to its flexibility.high security level it is designed to fully protect your device from damaging excessive current.copper core thickmultilayer shielding anti-interference protective circuit equipment.warranty 12 months warranty and friendly customer services ensures the long-time enjoyment of your purchase. if you meet any question or problem please dont hesitate to contact us.
B098NS6PVG,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)","Compatible with all Type C enabled devices, be it an android smartphone (Mi, Samsung, Oppo, Vivo, Realme, OnePlus, etc), tablet, laptop (Macbook, Chromebook, etc)|Supports Quick Charging (2.0/3.0)|Unbreakable – Made of special braided outer with rugged interior bindings, it is ultra-durable cable that won’t be affected by daily rough usage|Ideal Length – It has ideal length of 1.5 meters which is neither too short like your typical 1meter cable or too long like a 2meters cable|Supports maximum 3A fast charging and 480 Mbps data transfer speed|6 months manufacturer warranty from the date of purchase",compatible with all type c enabled devices be it an android smartphone mi samsung oppo vivo realme oneplus etc tablet laptop macbook chromebook etcsupports quick charging 2.03.0unbreakable made of special braided outer with rugged interior bindings it is ultra-durable cable that wont be affected by daily rough usageideal length it has ideal length of 1.5 meters which is neither too short like your typical 1meter cable or too long like a 2meters cablesupports maximum 3a fast charging and 480 mbps data transfer speed6 months manufacturer warranty from the date of purchase
B096MSW6CT,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices","【 Fast Charger& Data Sync】-With built-in safety proctections and four-core copper wires promote maximum signal quality and strength and enhance charging & data transfer speed with up to 480 mb/s transferring speed.|【 Compatibility】-Compatible with iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS devices.|【 Sturdy & Durable】-The jacket and enforced connector made of TPE and premium copper, are resistant to repeatedly bending and coiling.|【 Ultra High Quality】: According to the experimental results, the fishbone design can accept at least 20,000 bending and insertion tests for extra protection and durability. Upgraded 3D aluminum connector and exclusive laser welding technology, which to ensure the metal part won't break and also have a tighter connection which fits well even with a protective case on and will never loose connection.|【 Good After Sales Service】-Our friendly and reliable customer service will respond to you within 24 hours ! you can purchase with confidence,and every sale includes a 365-day worry-free Service to prove the importance we set on quality.",fast charger data sync-with built-in safety proctections and four-core copper wires promote maximum signal quality and strength and enhance charging data transfer speed with up to 480 mbs transferring speed. compatibility-compatible with iphone 13 1211 x 8 7 6 5 ipad air pro mini ios devices. sturdy durable-the jacket and enforced connector made of tpe and premium copper are resistant to repeatedly bending and coiling. ultra high quality according to the experimental results the fishbone design can accept at least 20000 bending and insertion tests for extra protection and durability. upgraded 3d aluminum connector and exclusive laser welding technology which to ensure the metal part wont break and also have a tighter connection which fits well even with a protective case on and will never loose connection. good after sales service-our friendly and reliable customer service will respond to you within 24 hours ! you can purchase with confidenceand every sale includes a 365-day worry-free service to prove the importance we set on quality.
B08HDJ86NZ,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red)","The boAt Deuce USB 300 2 in 1 cable is compatible with smartphones, tablets, PC peripherals, Bluetooth speakers, power banks and all other devices with Type-C as well as Micro USB port|It ensures 3A fast charging and data transmissions with rapid sync at 480 mbps|The premium Nylon braided skin makes it sturdy and invincible against external damage|Its Aluminium alloy shell housing makes it last longer with 10000+ Bends Lifespan with extended frame protection for strain relief|The resilient and flexible design offers a tangle free experience seamlessly|Deuce USB 300 cable offers a perfect 1.5 meters in length for smooth & hassle-free user experience|2 years warranty from the date of purchase",the boat deuce usb 300 2 in 1 cable is compatible with smartphones tablets pc peripherals bluetooth speakers power banks and all other devices with type-c as well as micro usb portit ensures 3a fast charging and data transmissions with rapid sync at 480 mbpsthe premium nylon braided skin makes it sturdy and invincible against external damageits aluminium alloy shell housing makes it last longer with 10000 bends lifespan with extended frame protection for strain reliefthe resilient and flexible design offers a tangle free experience seamlesslydeuce usb 300 cable offers a perfect 1.5 meters in length for smooth hassle-free user experience2 years warranty from the date of purchase
B08CF3B7N1,"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)","[CHARGE & SYNC FUNCTION]- This cable comes with charging & Data sync function|[HIGH QUALITY MATERIAL]- TPE + Nylon Material to make sure that the life of the cable is enhanced significantly|[LONG CORD]- The Cable is extra thick 1.2 meter long, optimized for an easy use for your comfort at home or office|[MORE DURABLE]-This cable is unique interms of design and multi-use and is positioned to provide the best comfort and performance while using|[UNIVERSAL COMPATIBILITY]- Compatible with all devices like iPhone XS, X, XR, 8, 7, 6S, 6, 5S, iPad Pro, iPad mini and iPad Air",charge sync function- this cable comes with charging data sync functionhigh quality material- tpe nylon material to make sure that the life of the cable is enhanced significantlylong cord- the cable is extra thick 1.2 meter long optimized for an easy use for your comfort at home or officemore durable-this cable is unique interms of design and multi-use and is positioned to provide the best comfort and performance while usinguniversal compatibility- compatible with all devices like iphone xs x xr 8 7 6s 6 5s ipad pro ipad mini and ipad air
B08Y1TFSP6,"pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong and Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices for Charging Adapter (Black)","Fast Charging & Data Sync: Solero TB301 Type-C cable supports fast charge up to 5V/3A for devices and data syncing speed up to 480Mbps.|Universal Compatibility: This USB charging cable connects USB Type-C devices with standard USB devices like laptops, hard drives, power banks, wall and car chargers, etc..Connector One: Reversible Type C|Connector Two: USB A Type|Rough & Tough Type-C Cable: Charging cable with a double-braided exterior, premium aramid fiber core and metal plugs. It has passed 10,000 bending tests and can easily withstand daily use.|Extended Length: 1.5-meter long c-type cable uses nylon material to protect the wire and avoid knots.|Perfect Fit Connectors: pTron Soler USB-C has passed the 5KG load test, swing test, 5000+ times connect & disconnect to ensure that there are no loose connections.",fast charging data sync solero tb301 type-c cable supports fast charge up to 5v3a for devices and data syncing speed up to 480mbps.universal compatibility this usb charging cable connects usb type-c devices with standard usb devices like laptops hard drives power banks wall and car chargers etc..connector one reversible type cconnector two usb a typerough tough type-c cable charging cable with a double-braided exterior premium aramid fiber core and metal plugs. it has passed 10000 bending tests and can easily withstand daily use.extended length 1.5-meter long c-type cable uses nylon material to protect the wire and avoid knots.perfect fit connectors ptron soler usb-c has passed the 5kg load test swing test 5000 times connect disconnect to ensure that there are no loose connections.
B08WRWPM22,"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black)","It Ensures High Speed Transmission And Charging By Offering 3A Fast Charging And Data Transmissions With Rapid Sync At 480 Mbps|The Braided Skin Makes It Durable And Invincible Against External Damage So You Can Have An Absolute Hassle-Free & Tangle Free Experience|Its Durable Pvc Housing And The Flexible Design Makes It Last 6 Times Longer Than Other Cables|Usb Cable Offers A Perfect 1.5 Meters In Length For Smooth & Hassle-Free User Experience For Superior Charging & Data Transfer Tasks|The Compact And Smooth Aluminium Connector Fits Most Cases Seamlessly And Resists Corrosion For Signal Purity|Micro Usb 55 Cable Offers Universal Compatibility As It Is Compatible With Most Android Smartphones, Tablets, Pc Peripherals, Bluetooth Speakers, Power Banks, Game Consoles & All Micro-Usb Enabled Devices|2 years warranty from the date of purchase",it ensures high speed transmission and charging by offering 3a fast charging and data transmissions with rapid sync at 480 mbpsthe braided skin makes it durable and invincible against external damage so you can have an absolute hassle-free tangle free experienceits durable pvc housing and the flexible design makes it last 6 times longer than other cablesusb cable offers a perfect 1.5 meters in length for smooth hassle-free user experience for superior charging data transfer tasksthe compact and smooth aluminium connector fits most cases seamlessly and resists corrosion for signal puritymicro usb 55 cable offers universal compatibility as it is compatible with most android smartphones tablets pc peripherals bluetooth speakers power banks game consoles all micro-usb enabled devices2 years warranty from the date of purchase
B08DDRGWTJ,MI Usb Type-C Cable Smartphone (Black),1m long Type-C USB Cable|Sturdy and Durable. With USB cable you can transfer data with speeds of upto 480 Mbps|Upto 3A output|6months warranty|Sturdy and Durable. With USB cable you can transfer data with speeds of upto 480 Mbps|6months warranty|Up To 3A Output,1m long type-c usb cablesturdy and durable. with usb cable you can transfer data with speeds of upto 480 mbpsupto 3a output6months warrantysturdy and durable. with usb cable you can transfer data with speeds of upto 480 mbps6months warrantyup to 3a output
B008IFXQFU,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3","USB WiFi Adapter —— Speedy wireless transmission at up to 150Mbps ideal for video streaming or internet calls|Mini Design —— Sleek miniature design so small that once plugged in, can be left in a Laptop’s USB port|Advanced Security —— Supports 64/128 WEP, WPA, PA2/WPA-PSK/WPA2-PSK(TKIP/AES)|Compatibility —— Windows 11/10/8.1/8/7/XP, Mac OS 10.15 and earlier, Linux|Easy Setup —— Connect in no time with easy setup utility in 14 languages|In an unlikely case of product quality related issue, we may ask you to reach out to brand’s customer service support and seek resolution. We will require brand proof of issue to process replacement request",usb wifi adapter speedy wireless transmission at up to 150mbps ideal for video streaming or internet callsmini design sleek miniature design so small that once plugged in can be left in a laptops usb portadvanced security supports 64128 wep wpa pa2wpa-pskwpa2-psktkipaescompatibility windows 11108.187xp mac os 10.15 and earlier linuxeasy setup connect in no time with easy setup utility in 14 languagesin an unlikely case of product quality related issue we may ask you to reach out to brands customer service support and seek resolution. we will require brand proof of issue to process replacement request
B082LZGK39,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & Other Micro USB Devices, 480Mbps Data Sync, Quick Charge 3.0 (RCM15, Black)","Universal Compatibility – It is compatible with all Micro USB enabled devices, be it an android smartphone, tablet, PC peripheral or any other micro USB compatible device|Unbreakable – Made of special braided outer with rugged interior bindings, it is ultra-durable cable that won’t be affected by daily rough usage|Ideal Length – It has ideal length of 1.5 meters which is neither too short like your typical 1meter cable or too long like a 2meters cable|Supports maximum 3A fast charging and 480 Mbps data transfer speed|6 Months manufacturer warranty from the date of purchase.",universal compatibility it is compatible with all micro usb enabled devices be it an android smartphone tablet pc peripheral or any other micro usb compatible deviceunbreakable made of special braided outer with rugged interior bindings it is ultra-durable cable that wont be affected by daily rough usageideal length it has ideal length of 1.5 meters which is neither too short like your typical 1meter cable or too long like a 2meters cablesupports maximum 3a fast charging and 480 mbps data transfer speed6 months manufacturer warranty from the date of purchase.
